age,M,susceptible,exposed,infected,recovery,vac1,vac2
0,0.25,0.3622047,5.09966330660339E-005,0.000030598,0.05,0.2260869565,0
1,0,0.193409863,7.73066666666667E-005,0.000046384,0.05,0.298245614,0.1578947368
2,0,0.0781,0.00015696,0.000094176,0.05,0.2380952381,0.380952381
3,0,0.0781,0.0002375915,0.0001425549,0.05,0.1290322581,0.5483870968
4,0,0.0781,0.0002915235,0.0001749141,0.05,0.1538461538,0.3076923077
5,0,0.1386,0.0003365575,0.0002019345,0.05,0.2941176471,0.5294117647
6,0,0.1386,0.0003301736,0.0001981042,0.05,0.2903225806,0.4838709677
7,0,0.1386,0.0002488286,0.0001492972,0.05,0.0869565217,0.652173913
8,0,0.1386,0.0001867416,0.0001120449,0.05,0.1052631579,0.6
9,0,0.1386,0.0002256079,0.0001353648,0.05,0.25,0.6315789474
10,0,0.1386,0.0001984824,0.0001190894,0.05,0.3913043478,0.375
11,0,0.083,0.0001656109,9.93665699746736E-005,0.05,0.1428571429,0.4347826087
12,0,0.083,0.0001037867,0.000062272,0.05,0.1111111111,0.1111111111
13,0,0.083,6.96358115888301E-005,4.17814869532981E-005,0.05,0.2,0.2666666667
14,0,0.083,4.65631886070229E-005,2.79379131642138E-005,0.05,0,0.4285714286
15,0,0.083,2.47777707165027E-005,1.48666624299016E-005,0.05,0,0.25
16,0,0.059,0.000016088,9.6527996030244E-006,0.05,0,0.3
17,0,0.059,1.19348382421598E-005,7.16090294529587E-006,0.05,0,0.0833333333
18,0,0.059,0.000008739,5.24342194333261E-006,0.05,0,0.075
19,0,0.059,8.71266473275579E-006,5.22759883965347E-006,0.05,0,0.075
20,0,0.059,5.01467503224811E-006,3.00880501934886E-006,0.45,0,0
21,0,0.053,5.32792840638941E-006,3.19675704383365E-006,0.45,0,0
22,0,0.053,5.98221933120267E-006,3.5893315987216E-006,0.45,0,0
23,0,0.053,5.80820647953189E-006,3.48492388771914E-006,0.45,0,0
24,0,0.053,6.46986283108155E-006,3.88191769864893E-006,0.45,0,0
25,0,0.053,5.83023438259643E-006,3.49814062955786E-006,0.45,0,0
26,0,0.029,6.46459493416613E-006,3.87875696049968E-006,0.45,0,0
27,0,0.029,6.72626861025197E-006,4.03576116615118E-006,0.45,0,0
28,0,0.029,5.53087815992552E-006,3.31852689595531E-006,0.45,0,0
29,0,0.029,7.1337584386676E-006,4.28025506320056E-006,0.45,0,0
30,0,0.029,6.36216288207157E-006,3.81729772924294E-006,0.45,0,0
31,0,0.086,6.11163176046643E-006,0.000003667,0.45,0,0
32,0,0.086,6.11576282308363E-006,3.66945769385018E-006,0.45,0,0
33,0,0.086,6.16990944703776E-006,3.70194566822266E-006,0.45,0,0
34,0,0.086,4.86258627609877E-006,2.91755176565926E-006,0.45,0,0
35,0,0.086,4.28936714141024E-006,2.57362028484614E-006,0.45,0,0
36,0,0.11,3.38666666666667E-006,0.000002032,0.45,0,0
37,0,0.11,2.95109456814563E-006,1.77065674088738E-006,0.45,0,0
38,0,0.11,0.00000264,0.000001584,0.45,0,0
39,0,0.11,2.49227738372718E-006,1.49536643023631E-006,0.45,0,0
40,0,0.11,1.81835900486894E-006,0.000001091,0.45,0,0
41,0,0.11,1.4971572726286E-006,8.98294363577157E-007,0.45,0,0
42,0,0.11,1.47052536625095E-006,8.82315219750571E-007,0.45,0,0
43,0,0.11,1.54985319759555E-006,9.29911918557331E-007,0.45,0,0
44,0,0.11,1.44944669637127E-006,8.6966801782276E-007,0.45,0,0
45,0,0,0.000000928,5.5682517495708E-007,0.45,0,0
46,0,0,8.56938008152336E-007,5.14162804891402E-007,0.45,0,0
47,0,0,7.03565162211088E-007,4.22139097326653E-007,0.45,0,0
48,0,0,9.74824911268435E-007,5.84894946761061E-007,0.45,0,0
49,0,0,0.000001624,9.74376545687106E-007,0.45,0,0
50,0,0.085,1.35819770381488E-006,8.14918622288925E-007,0.45,0,0
51,0,0.085,1.46513523079629E-006,8.79081138477773E-007,0.45,0,0
52,0,0.085,1.11174849252432E-006,0.000000667,0.45,0,0
53,0,0.085,7.96198536360584E-007,4.7771912181635E-007,0.45,0,0
54,0,0.085,1.03676254695299E-006,6.22057528171797E-007,0.45,0,0
55,0,0.085,1.13071597563076E-006,6.78429585378454E-007,0.45,0,0
56,0,0.085,0.0000009,0.00000054,0.45,0,0
57,0,0.085,1.01333333333333E-006,0.000000608,0.45,0,0
58,0,0.085,1.07234604490079E-006,6.43407626940472E-007,0.45,0,0
59,0,0.085,1.02730232093981E-006,6.16381392563888E-007,0.45,0,0
60,0,0.035,5.97514287840733E-007,3.5850857270444E-007,0.45,0,0
61,0,0.035,0.000000845,0.000000507,0.45,0,0
62,0,0.035,5.65939243733973E-007,3.39563546240384E-007,0.45,0,0
63,0,0.035,8.8707873081543E-007,5.32247238489258E-007,0.45,0,0
64,0,0.035,7.53544653507998E-007,4.52126792104798E-007,0.45,0,0
65,0,0.035,8.38364257823131E-007,0.000000503,0.45,0,0
66,0,0.035,7.67458712273125E-007,4.60475227363875E-007,0.45,0,0
67,0,0.035,6.63077575103205E-007,3.97846545061923E-007,0.45,0,0
68,0,0.035,8.81893832990443E-007,5.29136299794266E-007,0.45,0,0
69,0,0.035,7.33078490603397E-007,4.39847094362039E-007,0.45,0,0
70,0,0.035,7.14569388762928E-007,4.28741633257757E-007,0.45,0,0
71,0,0.035,7.52429099781597E-007,4.51457459868958E-007,0.45,0,0
72,0,0.035,5.74503690365491E-007,3.44702214219294E-007,0.45,0,0
73,0,0.035,4.75621720729901E-007,2.85373032437941E-007,0.45,0,0
74,0,0.035,4.65233642370595E-007,2.79140185422357E-007,0.45,0,0
75,0,0.035,4.67553310087493E-007,2.80531986052496E-007,0.45,0,0
76,0,0.035,3.39224568678611E-007,2.03534741207166E-007,0.45,0,0
77,0,0.035,4.31799717473445E-007,2.59079830484067E-007,0.45,0,0
78,0,0.035,4.81395689892462E-007,2.88837413935477E-007,0.45,0,0
79,0,0.035,0.000000592,3.55212709510746E-007,0.45,0,0
80,0,0.035,1.86666666666667E-007,0.000000112,0.45,0,0
81,0,0.035,1.99336613977951E-007,1.1960196838677E-007,0.45,0,0
82,0,0.035,0.000000509,3.05376788195813E-007,0.45,0,0
83,0,0.035,3.13721061192861E-007,1.88232636715717E-007,0.45,0,0
84,0,0.035,2.30842556575544E-007,1.38505533945326E-007,0.45,0,0
85,0,0.035,5.10096076596027E-007,3.06057645957616E-007,0.45,0,0
86,0,0.035,3.12718414267464E-007,1.87631048560478E-007,0.45,0,0
87,0,0.035,2.63068416860844E-007,1.57841050116506E-007,0.45,0,0
88,0,0.035,4.89433437970123E-007,2.93660062782074E-007,0.45,0,0
89,0,0.035,7.83457395035989E-007,4.70074437021594E-007,0.45,0,0
90,0,0.035,0.000000253,1.51811658660974E-007,0.45,0,0
91,0,0.035,0,0,0.45,0,0
92,0,0.035,0,0,0.45,0,0
93,0,0.035,0,0,0.45,0,0
94,0,0.035,0,0,0.45,0,0
95,0,0.035,0,0,0.45,0,0
96,0,0.035,0,0,0.45,0,0
97,0,0.035,0,0,0.45,0,0
