date,A,C,B
2013-01-06,204,1,1
2013-01-13,219,0,1
2013-01-20,264,3,1
2013-01-27,292,1,0
2013-02-03,322,0,2
2013-02-10,246,1,0
2013-02-17,294,2,0
2013-02-24,247,2,2
2013-03-03,272,1,14
2013-03-10,307,1,1
2013-03-17,305,2,3
2013-03-24,314,2,3
2013-03-31,402,4,6
2013-04-07,491,1,14
2013-04-14,505,4,35
2013-04-21,536,2,24
2013-04-28,547,0,19
2013-05-05,556,2,29
2013-05-12,611,0,28
2013-05-19,637,3,15
2013-05-26,742,4,31
2013-06-02,813,1,40
2013-06-09,805,4,39
2013-06-16,838,4,45
2013-06-23,802,4,24
2013-06-30,676,2,26
2013-07-07,540,1,26
2013-07-14,389,1,16
2013-07-21,305,1,20
2013-07-28,288,1,22
2013-08-04,255,1,7
2013-08-11,378,0,26
2013-08-18,338,3,15
2013-08-25,382,4,38
2013-09-01,449,3,42
2013-09-08,337,2,39
2013-09-15,370,6,49
2013-09-22,402,4,32
2013-09-29,439,2,17
2013-10-06,435,3,23
2013-10-13,371,3,16
2013-10-20,495,0,21
2013-10-27,457,1,22
2013-11-03,401,1,31
2013-11-10,442,2,23
2013-11-17,365,0,36
2013-11-24,372,0,27
2013-12-01,347,0,32
2013-12-08,380,1,23
2013-12-15,371,0,33
2013-12-22,414,0,20
2013-12-29,436,1,19
2014-01-05,479,0,29
2014-01-12,401,0,20
2014-01-19,336,0,17
2014-01-26,234,0,13
2014-02-02,273,1,9
2014-02-09,369,0,9
2014-02-16,193,1,12
2014-02-23,186,1,3
2014-03-02,209,1,3
2014-03-09,224,1,5
2014-03-16,210,0,2
2014-03-23,225,0,1
2014-03-30,240,0,1
2014-04-06,244,1,1
2014-04-13,235,0,2
2014-04-20,282,0,2
2014-04-27,251,0,1
2014-05-04,261,0,1
2014-05-11,291,0,4
2014-05-18,427,1,1
2014-05-25,456,0,1
2014-06-01,458,1,3
2014-06-08,506,0,3
2014-06-15,550,1,2
2014-06-22,671,0,1
2014-06-29,888,3,1
2014-07-06,818,1,2
2014-07-13,744,2,0
2014-07-20,633,1,2
2014-07-27,484,0,1
2014-08-03,545,0,0
2014-08-10,438,0,3
2014-08-17,418,0,0
2014-08-24,367,0,2
2014-08-31,339,0,1
2014-09-07,362,0,0
2014-09-14,396,1,0
2014-09-21,344,1,1
2014-09-28,339,0,1
2014-10-05,278,0,0
2014-10-12,297,0,1
2014-10-19,213,0,1
2014-10-26,186,0,0
2014-11-02,168,1,0
2014-11-09,158,0,0
2014-11-16,149,0,1
2014-11-23,162,0,1
2014-11-30,212,0,1
2014-12-07,177,0,1
2014-12-14,198,0,0
2014-12-21,188,0,0
2014-12-28,158,0,0
